Precinct,1ST CHOICE COUNCIL MEMBER WARD NINE WARD 9,2ND CHOICE COUNCIL MEMBER WARD NINE WARD 9,3RD CHOICE COUNCIL MEMBER WARD NINE WARD 9,COUNT,1ST CHOICE COUNCIL MEMBER WARD NINE WARD 9_Race,2ND CHOICE COUNCIL MEMBER WARD NINE WARD 9_Race,3RD CHOICE COUNCIL MEMBER WARD NINE WARD 9_Race
MINNEAPOLIS W-9 P-01,TY MOORE,ALONDRA CANO,PAT FLEETHAM,1,white,hispanic,white
MINNEAPOLIS W-9 P-07,CHARLES CURTIS,PAT FLEETHAM,GREGORY MCDONALD,1,white,white,white
MINNEAPOLIS W-9 P-01,ALONDRA CANO,,,1,hispanic,,
MINNEAPOLIS W-9 P-02,TY MOORE,ALONDRA CANO,,1,white,hispanic,
MINNEAPOLIS W-9 P-05,ALONDRA CANO,TY MOORE,ABDI ABDULLE,1,hispanic,white,black
MINNEAPOLIS W-9 P-07,TY MOORE,PAT FLEETHAM,ALONDRA CANO,1,white,white,hispanic
MINNEAPOLIS W-9 P-02,ALONDRA CANO,,,1,hispanic,,
MINNEAPOLIS W-9 P-02,ALONDRA CANO,TY MOORE,PAT FLEETHAM,1,hispanic,white,white
MINNEAPOLIS W-9 P-02,ALONDRA CANO,ABDI ABDULLE,TY MOORE,1,hispanic,black,white
MINNEAPOLIS W-9 P-02,,,,1,,,
MINNEAPOLIS W-9 P-03,ABDI ABDULLE,,,1,black,,
MINNEAPOLIS W-9 P-01,ALONDRA CANO,TY MOORE,GREGORY MCDONALD,1,hispanic,white,white
MINNEAPOLIS W-9 P-06,TY MOORE,ALONDRA CANO,,1,white,hispanic,
MINNEAPOLIS W-9 P-07,CHARLES CURTIS,TY MOORE,ALONDRA CANO,1,white,white,hispanic
MINNEAPOLIS W-9 P-06,ALONDRA CANO,,,1,hispanic,,
MINNEAPOLIS W-9 P-06,ALONDRA CANO,GREGORY MCDONALD,UWI,1,hispanic,white,
MINNEAPOLIS W-9 P-07,ALONDRA CANO,TY MOORE,PAT FLEETHAM,1,hispanic,white,white
MINNEAPOLIS W-9 P-02,ALONDRA CANO,TY MOORE,ABDI ABDULLE,1,hispanic,white,black
MINNEAPOLIS W-9 P-02,TY MOORE,,,1,white,,
MINNEAPOLIS W-9 P-06,ALONDRA CANO,TY MOORE,,1,hispanic,white,
MINNEAPOLIS W-9 P-01,CHARLES CURTIS,ALONDRA CANO,TY MOORE,1,white,hispanic,white
MINNEAPOLIS W-9 P-03,CHARLES CURTIS,ABDI ABDULLE,ALONDRA CANO,1,white,black,hispanic
MINNEAPOLIS W-9 P-07,ALONDRA CANO,CHARLES CURTIS,ABDI ABDULLE,1,hispanic,white,black
MINNEAPOLIS W-9 P-06,PAT FLEETHAM,ALONDRA CANO,GREGORY MCDONALD,1,white,hispanic,white
MINNEAPOLIS W-9 P-07,TY MOORE,CHARLES CURTIS,,1,white,white,
MINNEAPOLIS W-9 P-02,TY MOORE,ALONDRA CANO,ABDI ABDULLE,1,white,hispanic,black
MINNEAPOLIS W-9 P-05,ALONDRA CANO,CHARLES CURTIS,TY MOORE,1,hispanic,white,white
MINNEAPOLIS W-9 P-07,,,,1,,,
MINNEAPOLIS W-9 P-02,ALONDRA CANO,TY MOORE,ABDI ABDULLE,1,hispanic,white,black
MINNEAPOLIS W-9 P-03,CHARLES CURTIS,PAT FLEETHAM,,1,white,white,
MINNEAPOLIS W-9 P-03,ALONDRA CANO,TY MOORE,,1,hispanic,white,
MINNEAPOLIS W-9 P-01,ALONDRA CANO,GREGORY MCDONALD,PAT FLEETHAM,1,hispanic,white,white
MINNEAPOLIS W-9 P-05,ALONDRA CANO,TY MOORE,UWI,1,hispanic,white,
MINNEAPOLIS W-9 P-06,TY MOORE,ABDI ABDULLE,,1,white,black,
MINNEAPOLIS W-9 P-04,ALONDRA CANO,PAT FLEETHAM,CHARLES CURTIS,1,hispanic,white,white
MINNEAPOLIS W-9 P-07,PAT FLEETHAM,TY MOORE,ABDI ABDULLE,1,white,white,black
MINNEAPOLIS W-9 P-03,TY MOORE,,,1,white,,
MINNEAPOLIS W-9 P-06,TY MOORE,ALONDRA CANO,ABDI ABDULLE,1,white,hispanic,black
MINNEAPOLIS W-9 P-02,ALONDRA CANO,TY MOORE,ABDI ABDULLE,1,hispanic,white,black
MINNEAPOLIS W-9 P-02,ALONDRA CANO,TY MOORE,,1,hispanic,white,
MINNEAPOLIS W-9 P-02,ALONDRA CANO,TY MOORE,,1,hispanic,white,
MINNEAPOLIS W-9 P-01,ALONDRA CANO,GREGORY MCDONALD,,1,hispanic,white,
MINNEAPOLIS W-9 P-04,ALONDRA CANO,TY MOORE,UWI,1,hispanic,white,
MINNEAPOLIS W-9 P-06,TY MOORE,,,1,white,,
MINNEAPOLIS W-9 P-07,CHARLES CURTIS,PAT FLEETHAM,TY MOORE,1,white,white,white
MINNEAPOLIS W-9 P-02,ALONDRA CANO,PAT FLEETHAM,ABDI ABDULLE,1,hispanic,white,black
MINNEAPOLIS W-9 P-03,TY MOORE,,,1,white,,
MINNEAPOLIS W-9 P-01,ABDI ABDULLE,,,1,black,,
MINNEAPOLIS W-9 P-02,ALONDRA CANO,ABDI ABDULLE,GREGORY MCDONALD,1,hispanic,black,white
MINNEAPOLIS W-9 P-01,TY MOORE,,,1,white,,
MINNEAPOLIS W-9 P-01,TY MOORE,ALONDRA CANO,CHARLES CURTIS,1,white,hispanic,white
MINNEAPOLIS W-9 P-04,ALONDRA CANO,TY MOORE,ABDI ABDULLE,1,hispanic,white,black
MINNEAPOLIS W-9 P-02,TY MOORE,ALONDRA CANO,,1,white,hispanic,
MINNEAPOLIS W-9 P-02,TY MOORE,PAT FLEETHAM,GREGORY MCDONALD,1,white,white,white
MINNEAPOLIS W-9 P-05,ALONDRA CANO,TY MOORE,,1,hispanic,white,
MINNEAPOLIS W-9 P-06,TY MOORE,,,1,white,,
MINNEAPOLIS W-9 P-03,ALONDRA CANO,,,1,hispanic,,
MINNEAPOLIS W-9 P-01,ALONDRA CANO,TY MOORE,ABDI ABDULLE,1,hispanic,white,black
MINNEAPOLIS W-9 P-02,ALONDRA CANO,,,1,hispanic,,
MINNEAPOLIS W-9 P-01,CHARLES CURTIS,TY MOORE,PAT FLEETHAM,1,white,white,white
MINNEAPOLIS W-9 P-06,PAT FLEETHAM,CHARLES CURTIS,,1,white,white,
MINNEAPOLIS W-9 P-02,CHARLES CURTIS,,,1,white,,
MINNEAPOLIS W-9 P-02,CHARLES CURTIS,PAT FLEETHAM,GREGORY MCDONALD,1,white,white,white
MINNEAPOLIS W-9 P-06,TY MOORE,ALONDRA CANO,UWI,1,white,hispanic,
MINNEAPOLIS W-9 P-01,TY MOORE,CHARLES CURTIS,,1,white,white,
MINNEAPOLIS W-9 P-02,ALONDRA CANO,ABDI ABDULLE,TY MOORE,1,hispanic,black,white
MINNEAPOLIS W-9 P-06,TY MOORE,ALONDRA CANO,CHARLES CURTIS,1,white,hispanic,white
MINNEAPOLIS W-9 P-02,ALONDRA CANO,PAT FLEETHAM,GREGORY MCDONALD,1,hispanic,white,white
MINNEAPOLIS W-9 P-02,PAT FLEETHAM,GREGORY MCDONALD,CHARLES CURTIS,1,white,white,white
MINNEAPOLIS W-9 P-02,TY MOORE,CHARLES CURTIS,ALONDRA CANO,1,white,white,hispanic
MINNEAPOLIS W-9 P-01,ALONDRA CANO,ABDI ABDULLE,CHARLES CURTIS,1,hispanic,black,white
MINNEAPOLIS W-9 P-02,TY MOORE,ALONDRA CANO,CHARLES CURTIS,1,white,hispanic,white
MINNEAPOLIS W-9 P-06,TY MOORE,ALONDRA CANO,,1,white,hispanic,
MINNEAPOLIS W-9 P-07,CHARLES CURTIS,TY MOORE,ALONDRA CANO,1,white,white,hispanic
MINNEAPOLIS W-9 P-02,CHARLES CURTIS,PAT FLEETHAM,,1,white,white,
MINNEAPOLIS W-9 P-06,PAT FLEETHAM,ALONDRA CANO,GREGORY MCDONALD,1,white,hispanic,white
MINNEAPOLIS W-9 P-02,,,,1,,,
MINNEAPOLIS W-9 P-07,CHARLES CURTIS,PAT FLEETHAM,ALONDRA CANO,1,white,white,hispanic
MINNEAPOLIS W-9 P-07,TY MOORE,ALONDRA CANO,CHARLES CURTIS,1,white,hispanic,white
MINNEAPOLIS W-9 P-06,CHARLES CURTIS,ALONDRA CANO,,1,white,hispanic,
MINNEAPOLIS W-9 P-02,TY MOORE,ALONDRA CANO,CHARLES CURTIS,1,white,hispanic,white
MINNEAPOLIS W-9 P-01,,,,1,,,
MINNEAPOLIS W-9 P-07,TY MOORE,,,1,white,,
MINNEAPOLIS W-9 P-03,ABDI ABDULLE,,,1,black,,
MINNEAPOLIS W-9 P-02,PAT FLEETHAM,GREGORY MCDONALD,ALONDRA CANO,1,white,white,hispanic
MINNEAPOLIS W-9 P-04,TY MOORE,ALONDRA CANO,,1,white,hispanic,
MINNEAPOLIS W-9 P-04,TY MOORE,,,1,white,,
MINNEAPOLIS W-9 P-01,TY MOORE,CHARLES CURTIS,ABDI ABDULLE,1,white,white,black
MINNEAPOLIS W-9 P-01,CHARLES CURTIS,,,1,white,,
MINNEAPOLIS W-9 P-01,ALONDRA CANO,TY MOORE,CHARLES CURTIS,1,hispanic,white,white
MINNEAPOLIS W-9 P-06,TY MOORE,CHARLES CURTIS,,1,white,white,
MINNEAPOLIS W-9 P-01,TY MOORE,ALONDRA CANO,CHARLES CURTIS,1,white,hispanic,white
MINNEAPOLIS W-9 P-06,ALONDRA CANO,CHARLES CURTIS,TY MOORE,1,hispanic,white,white
MINNEAPOLIS W-9 P-01,UWI,,,1,,,
MINNEAPOLIS W-9 P-03,ALONDRA CANO,ABDI ABDULLE,UWI,1,hispanic,black,
MINNEAPOLIS W-9 P-04,ALONDRA CANO,TY MOORE,CHARLES CURTIS,1,hispanic,white,white
MINNEAPOLIS W-9 P-01,ALONDRA CANO,,,1,hispanic,,
MINNEAPOLIS W-9 P-06,ALONDRA CANO,TY MOORE,,1,hispanic,white,
MINNEAPOLIS W-9 P-04,ALONDRA CANO,TY MOORE,PAT FLEETHAM,1,hispanic,white,white
MINNEAPOLIS W-9 P-01,TY MOORE,ABDI ABDULLE,ALONDRA CANO,1,white,black,hispanic
MINNEAPOLIS W-9 P-02,TY MOORE,,,1,white,,
MINNEAPOLIS W-9 P-01,ALONDRA CANO,,,1,hispanic,,
MINNEAPOLIS W-9 P-07,TY MOORE,ALONDRA CANO,,1,white,hispanic,
MINNEAPOLIS W-9 P-07,ALONDRA CANO,,,1,hispanic,,
MINNEAPOLIS W-9 P-02,ABDI ABDULLE,,,1,black,,
MINNEAPOLIS W-9 P-01,ALONDRA CANO,TY MOORE,ABDI ABDULLE,1,hispanic,white,black
MINNEAPOLIS W-9 P-04,GREGORY MCDONALD,PAT FLEETHAM,ALONDRA CANO,1,white,white,hispanic
MINNEAPOLIS W-9 P-05,ALONDRA CANO,ABDI ABDULLE,PAT FLEETHAM,1,hispanic,black,white
MINNEAPOLIS W-9 P-03,ALONDRA CANO,PAT FLEETHAM,CHARLES CURTIS,1,hispanic,white,white
MINNEAPOLIS W-9 P-06,PAT FLEETHAM,GREGORY MCDONALD,ABDI ABDULLE,1,white,white,black
MINNEAPOLIS W-9 P-02,ALONDRA CANO,TY MOORE,,1,hispanic,white,
MINNEAPOLIS W-9 P-06,ALONDRA CANO,PAT FLEETHAM,GREGORY MCDONALD,1,hispanic,white,white
MINNEAPOLIS W-9 P-02,TY MOORE,ALONDRA CANO,,1,white,hispanic,
MINNEAPOLIS W-9 P-02,TY MOORE,CHARLES CURTIS,ABDI ABDULLE,1,white,white,black
MINNEAPOLIS W-9 P-03,,,,1,,,
MINNEAPOLIS W-9 P-06,CHARLES CURTIS,UWI,,1,white,,
MINNEAPOLIS W-9 P-06,ALONDRA CANO,TY MOORE,CHARLES CURTIS,1,hispanic,white,white
MINNEAPOLIS W-9 P-02,TY MOORE,ALONDRA CANO,,1,white,hispanic,
MINNEAPOLIS W-9 P-02,TY MOORE,,,1,white,,
MINNEAPOLIS W-9 P-02,TY MOORE,ALONDRA CANO,CHARLES CURTIS,1,white,hispanic,white
MINNEAPOLIS W-9 P-02,TY MOORE,CHARLES CURTIS,ALONDRA CANO,1,white,white,hispanic
MINNEAPOLIS W-9 P-02,TY MOORE,ALONDRA CANO,PAT FLEETHAM,1,white,hispanic,white
MINNEAPOLIS W-9 P-06,ABDI ABDULLE,,,1,black,,
MINNEAPOLIS W-9 P-06,TY MOORE,ABDI ABDULLE,ALONDRA CANO,1,white,black,hispanic
MINNEAPOLIS W-9 P-03,ALONDRA CANO,ABDI ABDULLE,TY MOORE,1,hispanic,black,white
MINNEAPOLIS W-9 P-01,ABDI ABDULLE,,,1,black,,
MINNEAPOLIS W-9 P-03,ALONDRA CANO,CHARLES CURTIS,GREGORY MCDONALD,1,hispanic,white,white
MINNEAPOLIS W-9 P-07,ALONDRA CANO,TY MOORE,CHARLES CURTIS,1,hispanic,white,white
MINNEAPOLIS W-9 P-03,TY MOORE,CHARLES CURTIS,PAT FLEETHAM,1,white,white,white
MINNEAPOLIS W-9 P-06,ALONDRA CANO,,,1,hispanic,,
MINNEAPOLIS W-9 P-01,CHARLES CURTIS,TY MOORE,ALONDRA CANO,1,white,white,hispanic
MINNEAPOLIS W-9 P-01,TY MOORE,PAT FLEETHAM,ALONDRA CANO,1,white,white,hispanic
MINNEAPOLIS W-9 P-02,ALONDRA CANO,TY MOORE,CHARLES CURTIS,1,hispanic,white,white
MINNEAPOLIS W-9 P-03,,,,1,,,
MINNEAPOLIS W-9 P-03,ALONDRA CANO,TY MOORE,ABDI ABDULLE,1,hispanic,white,black
MINNEAPOLIS W-9 P-01,TY MOORE,,,1,white,,
MINNEAPOLIS W-9 P-01,ALONDRA CANO,TY MOORE,CHARLES CURTIS,1,hispanic,white,white
MINNEAPOLIS W-9 P-02,TY MOORE,ALONDRA CANO,UWI,1,white,hispanic,
MINNEAPOLIS W-9 P-03,GREGORY MCDONALD,ABDI ABDULLE,PAT FLEETHAM,1,white,black,white
MINNEAPOLIS W-9 P-06,CHARLES CURTIS,TY MOORE,ABDI ABDULLE,1,white,white,black
MINNEAPOLIS W-9 P-07,TY MOORE,ALONDRA CANO,ABDI ABDULLE,1,white,hispanic,black
MINNEAPOLIS W-9 P-07,TY MOORE,,,1,white,,
MINNEAPOLIS W-9 P-02,CHARLES CURTIS,,,1,white,,
MINNEAPOLIS W-9 P-02,ALONDRA CANO,GREGORY MCDONALD,PAT FLEETHAM,1,hispanic,white,white
MINNEAPOLIS W-9 P-03,UWI,,,1,,,
MINNEAPOLIS W-9 P-01,TY MOORE,,,1,white,,
MINNEAPOLIS W-9 P-02,ALONDRA CANO,TY MOORE,,1,hispanic,white,
MINNEAPOLIS W-9 P-02,ALONDRA CANO,,,1,hispanic,,
MINNEAPOLIS W-9 P-03,ALONDRA CANO,TY MOORE,,1,hispanic,white,
MINNEAPOLIS W-9 P-06,ALONDRA CANO,ABDI ABDULLE,TY MOORE,1,hispanic,black,white
MINNEAPOLIS W-9 P-02,TY MOORE,ALONDRA CANO,ABDI ABDULLE,1,white,hispanic,black
MINNEAPOLIS W-9 P-01,TY MOORE,CHARLES CURTIS,PAT FLEETHAM,1,white,white,white
MINNEAPOLIS W-9 P-06,ALONDRA CANO,ABDI ABDULLE,TY MOORE,1,hispanic,black,white
MINNEAPOLIS W-9 P-02,TY MOORE,ALONDRA CANO,ABDI ABDULLE,1,white,hispanic,black
MINNEAPOLIS W-9 P-06,ALONDRA CANO,ABDI ABDULLE,TY MOORE,1,hispanic,black,white
MINNEAPOLIS W-9 P-06,TY MOORE,CHARLES CURTIS,,1,white,white,
MINNEAPOLIS W-9 P-03,GREGORY MCDONALD,ALONDRA CANO,PAT FLEETHAM,1,white,hispanic,white
MINNEAPOLIS W-9 P-02,ALONDRA CANO,TY MOORE,,1,hispanic,white,
MINNEAPOLIS W-9 P-01,TY MOORE,ALONDRA CANO,PAT FLEETHAM,1,white,hispanic,white
MINNEAPOLIS W-9 P-03,CHARLES CURTIS,ABDI ABDULLE,PAT FLEETHAM,1,white,black,white
MINNEAPOLIS W-9 P-05,ALONDRA CANO,PAT FLEETHAM,,1,hispanic,white,
MINNEAPOLIS W-9 P-01,ALONDRA CANO,TY MOORE,PAT FLEETHAM,1,hispanic,white,white
MINNEAPOLIS W-9 P-03,ABDI ABDULLE,ALONDRA CANO,TY MOORE,1,black,hispanic,white
MINNEAPOLIS W-9 P-01,ALONDRA CANO,TY MOORE,CHARLES CURTIS,1,hispanic,white,white
MINNEAPOLIS W-9 P-07,ABDI ABDULLE,,,1,black,,
MINNEAPOLIS W-9 P-06,ALONDRA CANO,CHARLES CURTIS,TY MOORE,1,hispanic,white,white
MINNEAPOLIS W-9 P-02,TY MOORE,ALONDRA CANO,,1,white,hispanic,
MINNEAPOLIS W-9 P-07,TY MOORE,ALONDRA CANO,CHARLES CURTIS,1,white,hispanic,white
MINNEAPOLIS W-9 P-01,PAT FLEETHAM,ALONDRA CANO,TY MOORE,1,white,hispanic,white
MINNEAPOLIS W-9 P-02,ABDI ABDULLE,ALONDRA CANO,,1,black,hispanic,
MINNEAPOLIS W-9 P-07,ALONDRA CANO,CHARLES CURTIS,,1,hispanic,white,
MINNEAPOLIS W-9 P-01,ALONDRA CANO,TY MOORE,GREGORY MCDONALD,1,hispanic,white,white
MINNEAPOLIS W-9 P-05,TY MOORE,ALONDRA CANO,,1,white,hispanic,
MINNEAPOLIS W-9 P-07,GREGORY MCDONALD,TY MOORE,ALONDRA CANO,1,white,white,hispanic
MINNEAPOLIS W-9 P-04,TY MOORE,ALONDRA CANO,ABDI ABDULLE,1,white,hispanic,black
MINNEAPOLIS W-9 P-02,TY MOORE,PAT FLEETHAM,GREGORY MCDONALD,1,white,white,white
MINNEAPOLIS W-9 P-06,ALONDRA CANO,,,1,hispanic,,
MINNEAPOLIS W-9 P-06,CHARLES CURTIS,,,1,white,,
MINNEAPOLIS W-9 P-01,ABDI ABDULLE,,,1,black,,
MINNEAPOLIS W-9 P-06,TY MOORE,ALONDRA CANO,,1,white,hispanic,
MINNEAPOLIS W-9 P-02,ALONDRA CANO,,,1,hispanic,,
MINNEAPOLIS W-9 P-02,TY MOORE,ALONDRA CANO,ABDI ABDULLE,1,white,hispanic,black
MINNEAPOLIS W-9 P-02,ALONDRA CANO,TY MOORE,ABDI ABDULLE,1,hispanic,white,black
MINNEAPOLIS W-9 P-02,ALONDRA CANO,TY MOORE,CHARLES CURTIS,1,hispanic,white,white
MINNEAPOLIS W-9 P-05,TY MOORE,ALONDRA CANO,ABDI ABDULLE,1,white,hispanic,black
MINNEAPOLIS W-9 P-06,TY MOORE,ALONDRA CANO,,1,white,hispanic,
MINNEAPOLIS W-9 P-02,ALONDRA CANO,TY MOORE,,1,hispanic,white,
MINNEAPOLIS W-9 P-07,ALONDRA CANO,CHARLES CURTIS,PAT FLEETHAM,1,hispanic,white,white
MINNEAPOLIS W-9 P-03,TY MOORE,,,1,white,,
MINNEAPOLIS W-9 P-07,CHARLES CURTIS,TY MOORE,,1,white,white,
MINNEAPOLIS W-9 P-07,ALONDRA CANO,TY MOORE,ABDI ABDULLE,1,hispanic,white,black
MINNEAPOLIS W-9 P-02,ALONDRA CANO,ABDI ABDULLE,TY MOORE,1,hispanic,black,white
MINNEAPOLIS W-9 P-03,TY MOORE,ALONDRA CANO,GREGORY MCDONALD,1,white,hispanic,white
MINNEAPOLIS W-9 P-02,CHARLES CURTIS,PAT FLEETHAM,ABDI ABDULLE,1,white,white,black
MINNEAPOLIS W-9 P-01,ALONDRA CANO,PAT FLEETHAM,CHARLES CURTIS,1,hispanic,white,white
MINNEAPOLIS W-9 P-02,TY MOORE,ALONDRA CANO,PAT FLEETHAM,1,white,hispanic,white
MINNEAPOLIS W-9 P-07,ALONDRA CANO,TY MOORE,,1,hispanic,white,
MINNEAPOLIS W-9 P-06,PAT FLEETHAM,ALONDRA CANO,TY MOORE,1,white,hispanic,white
MINNEAPOLIS W-9 P-02,TY MOORE,CHARLES CURTIS,,1,white,white,
MINNEAPOLIS W-9 P-02,TY MOORE,ALONDRA CANO,,1,white,hispanic,
MINNEAPOLIS W-9 P-07,CHARLES CURTIS,PAT FLEETHAM,ALONDRA CANO,1,white,white,hispanic
MINNEAPOLIS W-9 P-02,PAT FLEETHAM,ABDI ABDULLE,ALONDRA CANO,1,white,black,hispanic
MINNEAPOLIS W-9 P-02,TY MOORE,ALONDRA CANO,CHARLES CURTIS,1,white,hispanic,white
MINNEAPOLIS W-9 P-07,ALONDRA CANO,,,1,hispanic,,
MINNEAPOLIS W-9 P-02,ABDI ABDULLE,ALONDRA CANO,TY MOORE,1,black,hispanic,white
MINNEAPOLIS W-9 P-02,ALONDRA CANO,TY MOORE,,1,hispanic,white,
MINNEAPOLIS W-9 P-02,ALONDRA CANO,TY MOORE,CHARLES CURTIS,1,hispanic,white,white
MINNEAPOLIS W-9 P-07,TY MOORE,ALONDRA CANO,,1,white,hispanic,
MINNEAPOLIS W-9 P-05,,,,1,,,
MINNEAPOLIS W-9 P-02,GREGORY MCDONALD,,,1,white,,
MINNEAPOLIS W-9 P-06,ALONDRA CANO,,,1,hispanic,,
MINNEAPOLIS W-9 P-06,GREGORY MCDONALD,TY MOORE,PAT FLEETHAM,1,white,white,white
MINNEAPOLIS W-9 P-04,TY MOORE,ALONDRA CANO,,1,white,hispanic,
MINNEAPOLIS W-9 P-06,GREGORY MCDONALD,TY MOORE,PAT FLEETHAM,1,white,white,white
MINNEAPOLIS W-9 P-03,ALONDRA CANO,PAT FLEETHAM,CHARLES CURTIS,1,hispanic,white,white
MINNEAPOLIS W-9 P-06,CHARLES CURTIS,,,1,white,,
MINNEAPOLIS W-9 P-02,TY MOORE,ALONDRA CANO,PAT FLEETHAM,1,white,hispanic,white
MINNEAPOLIS W-9 P-04,PAT FLEETHAM,ALONDRA CANO,,1,white,hispanic,
MINNEAPOLIS W-9 P-01,ABDI ABDULLE,CHARLES CURTIS,GREGORY MCDONALD,1,black,white,white
MINNEAPOLIS W-9 P-06,CHARLES CURTIS,,,1,white,,
MINNEAPOLIS W-9 P-07,ALONDRA CANO,TY MOORE,CHARLES CURTIS,1,hispanic,white,white
MINNEAPOLIS W-9 P-07,CHARLES CURTIS,TY MOORE,ALONDRA CANO,1,white,white,hispanic
MINNEAPOLIS W-9 P-02,TY MOORE,ALONDRA CANO,ABDI ABDULLE,1,white,hispanic,black
MINNEAPOLIS W-9 P-01,ALONDRA CANO,,,1,hispanic,,
MINNEAPOLIS W-9 P-08,GREGORY MCDONALD,TY MOORE,ALONDRA CANO,1,white,white,hispanic
MINNEAPOLIS W-9 P-02,TY MOORE,GREGORY MCDONALD,,1,white,white,
MINNEAPOLIS W-9 P-02,ALONDRA CANO,TY MOORE,CHARLES CURTIS,1,hispanic,white,white
MINNEAPOLIS W-9 P-07,ALONDRA CANO,CHARLES CURTIS,TY MOORE,1,hispanic,white,white
MINNEAPOLIS W-9 P-02,PAT FLEETHAM,GREGORY MCDONALD,ALONDRA CANO,1,white,white,hispanic
MINNEAPOLIS W-9 P-01,TY MOORE,CHARLES CURTIS,PAT FLEETHAM,1,white,white,white
MINNEAPOLIS W-9 P-02,ALONDRA CANO,TY MOORE,ABDI ABDULLE,1,hispanic,white,black
MINNEAPOLIS W-9 P-03,ABDI ABDULLE,,,1,black,,
MINNEAPOLIS W-9 P-06,ALONDRA CANO,,,1,hispanic,,
MINNEAPOLIS W-9 P-02,ALONDRA CANO,TY MOORE,ABDI ABDULLE,1,hispanic,white,black
MINNEAPOLIS W-9 P-07,TY MOORE,PAT FLEETHAM,ALONDRA CANO,1,white,white,hispanic
MINNEAPOLIS W-9 P-06,ALONDRA CANO,,,1,hispanic,,
MINNEAPOLIS W-9 P-03,TY MOORE,ALONDRA CANO,PAT FLEETHAM,1,white,hispanic,white
MINNEAPOLIS W-9 P-02,TY MOORE,GREGORY MCDONALD,PAT FLEETHAM,1,white,white,white
MINNEAPOLIS W-9 P-02,TY MOORE,ALONDRA CANO,,1,white,hispanic,
MINNEAPOLIS W-9 P-02,ALONDRA CANO,TY MOORE,ABDI ABDULLE,1,hispanic,white,black
MINNEAPOLIS W-9 P-03,,,,1,,,
MINNEAPOLIS W-9 P-05,ALONDRA CANO,TY MOORE,PAT FLEETHAM,1,hispanic,white,white
MINNEAPOLIS W-9 P-01,PAT FLEETHAM,GREGORY MCDONALD,ALONDRA CANO,1,white,white,hispanic
MINNEAPOLIS W-9 P-01,ALONDRA CANO,ABDI ABDULLE,GREGORY MCDONALD,1,hispanic,black,white
MINNEAPOLIS W-9 P-06,TY MOORE,ALONDRA CANO,,1,white,hispanic,
MINNEAPOLIS W-9 P-02,TY MOORE,ALONDRA CANO,ABDI ABDULLE,1,white,hispanic,black
MINNEAPOLIS W-9 P-06,ALONDRA CANO,ABDI ABDULLE,,1,hispanic,black,
MINNEAPOLIS W-9 P-06,ALONDRA CANO,ABDI ABDULLE,UWI,1,hispanic,black,
MINNEAPOLIS W-9 P-02,CHARLES CURTIS,TY MOORE,,1,white,white,
MINNEAPOLIS W-9 P-06,ALONDRA CANO,CHARLES CURTIS,PAT FLEETHAM,1,hispanic,white,white
MINNEAPOLIS W-9 P-07,ABDI ABDULLE,,,1,black,,
MINNEAPOLIS W-9 P-01,ALONDRA CANO,GREGORY MCDONALD,PAT FLEETHAM,1,hispanic,white,white
MINNEAPOLIS W-9 P-02,PAT FLEETHAM,GREGORY MCDONALD,ALONDRA CANO,1,white,white,hispanic
MINNEAPOLIS W-9 P-05,TY MOORE,,,1,white,,
MINNEAPOLIS W-9 P-02,ALONDRA CANO,ABDI ABDULLE,TY MOORE,1,hispanic,black,white
MINNEAPOLIS W-9 P-02,TY MOORE,UWI,,1,white,,
MINNEAPOLIS W-9 P-01,TY MOORE,ALONDRA CANO,,1,white,hispanic,
MINNEAPOLIS W-9 P-02,TY MOORE,ALONDRA CANO,,1,white,hispanic,
MINNEAPOLIS W-9 P-01,TY MOORE,ABDI ABDULLE,ALONDRA CANO,1,white,black,hispanic
MINNEAPOLIS W-9 P-07,TY MOORE,PAT FLEETHAM,ALONDRA CANO,1,white,white,hispanic
MINNEAPOLIS W-9 P-03,ALONDRA CANO,,,1,hispanic,,
MINNEAPOLIS W-9 P-01,TY MOORE,ALONDRA CANO,PAT FLEETHAM,1,white,hispanic,white
MINNEAPOLIS W-9 P-06,,,,1,,,
MINNEAPOLIS W-9 P-02,,,,1,,,
MINNEAPOLIS W-9 P-04,ALONDRA CANO,CHARLES CURTIS,,1,hispanic,white,
MINNEAPOLIS W-9 P-02,ALONDRA CANO,,,1,hispanic,,
MINNEAPOLIS W-9 P-03,ALONDRA CANO,TY MOORE,ABDI ABDULLE,1,hispanic,white,black
MINNEAPOLIS W-9 P-02,TY MOORE,ALONDRA CANO,PAT FLEETHAM,1,white,hispanic,white
MINNEAPOLIS W-9 P-01,TY MOORE,ALONDRA CANO,PAT FLEETHAM,1,white,hispanic,white
MINNEAPOLIS W-9 P-01,ALONDRA CANO,,,1,hispanic,,
MINNEAPOLIS W-9 P-06,TY MOORE,ABDI ABDULLE,ALONDRA CANO,1,white,black,hispanic
MINNEAPOLIS W-9 P-02,,,,1,,,
MINNEAPOLIS W-9 P-03,ALONDRA CANO,,,1,hispanic,,
MINNEAPOLIS W-9 P-01,ALONDRA CANO,PAT FLEETHAM,GREGORY MCDONALD,1,hispanic,white,white
MINNEAPOLIS W-9 P-03,,,,1,,,
MINNEAPOLIS W-9 P-07,TY MOORE,CHARLES CURTIS,ALONDRA CANO,1,white,white,hispanic
